feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K00033	4678.03452380952	4959.78560606061	4150.21417748918	5144.3658008658	3767.18968253968	2123.08015873016	2777.19761904762	1771.78333333333	7076.62142857143	6434.52023809524	3140.8	6223.92023809524
K00034	508.15	262.89696969697	498.863636363636	277.992424242424	1223.01388888889	138.466666666667	6684.49166666667	37477.5	3115.5	1309.45833333333	193.875	308.916666666667
K00035	0	0	0	0	0	0	341.8	0	0	0	0	0
K00036	4670.77063492063	4951.46363636364	4139.68387445887	5157.92893217893	3754.00634920635	2093.56349206349	2459.08928571429	1700.81666666667	7986.49365079365	7465.04523809524	3127.425	6208.92023809524
K00038	0	0.6	0	0	0.4	1.4	31.6	53.6	0	1	0	0
K00039	0	0	0	0	0	0	282.8	0	0	0	0	0
K00040	132.198412698413	122.342857142857	41.3333333333333	314.444444444444	281.466666666667	244.02619047619	969.133333333333	14.5	147.944444444444	379.630952380952	245	400.666666666667
K00041	5.32142857142857	1.82142857142857	4	0	0.444444444444444	1.94642857142857	6237.8	37461	2130.45	83.3821428571429	0	1.33333333333333
K00042	0.966666666666667	1.2	0	0.833333333333333	0.8	3.1	220.866666666667	0	476.466666666667	950.433333333333	0	0
K00043	0	0	0	0	0	0	69	0	0	0	0	0
K00045	477.883333333333	376.1	85	381.666666666667	37.4	63.95	368.4	260.6	3007.83333333333	1204.58333333333	36	61
K00046	1069.66111111111	581.183333333333	1013.51666666667	605.930555555556	2452.98333333333	309.175	7290.125	37566.6416666667	244.897222222222	394.883333333333	410.925	637.075
K00048	522.183333333333	558.033333333333	182.116666666667	532.416666666667	739.233333333333	1475.325	6.8	28.1833333333333	225.55	406.6	420.8	975.516666666667
K00052	5763.46785714286	5709.88863636364	4732.08387445887	5290.67893217893	4419.02857142857	7465.70793650794	10643.330952381	3533.76111111111	7281.29365079365	7338.49246031746	3609.68333333333	6914.09246031746
