"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00510"	1502.26111111111	1914.90833333333	1708.43333333333	2813.80555555556	2434.25	1166.76666666667	6325.78333333333	37818.9833333333	2318.53888888889	2203.64166666667	1178.25833333333	1955.7
"ko00511"	18000.9281746032	16670.630952381	11753.5333333333	28813.4444444444	31755.8944444444	22225.8642857143	53377.6083333333	307404.269444444	5689.05	12828.7436507937	12603.975	21305.8722222222
"ko00513"	2544.75476190476	2601.3130952381	1505.08333333333	5975	5739.54166666667	3495.1130952381	7057.14166666667	38461.625	963.416666666667	1919.19047619048	2119.79166666667	3847.16666666667
"ko00514"	1770.98333333333	2120.45	1757.93333333333	1930.33333333333	1022.75	489.766666666667	276.266666666667	521.733333333333	1385.23333333333	1845.76666666667	838.633333333333	1202.7
"ko00515"	1772.98333333333	2122.2	1764.93333333333	1935.33333333333	1025	489.766666666667	276.266666666667	523.358333333333	1387.23333333333	1855.39166666667	845.008333333333	1201.2
"ko00520"	201191.426984127	186880.082178932	157149.684163059	201675.614177489	216920.273809524	238988.134920635	405708.473015873	1049676.49166667	203768.015079365	211786.685714286	126140.383333333	211324.809920635
"ko00521"	43176.7575396825	38862.1059163059	31741.4384559885	46402.9374098124	45113.7682539683	51260.4821428571	113581.992460317	288234.663888889	67513.0484126984	61352.4801587302	25121.4083333333	59756.3738095238
"ko00523"	26809.4309523809	25059.5870851371	20940.3136724387	29019.9478715729	26643.6257936508	29012.5099206349	73237.4531746032	202706.313888889	36648.9547619048	36748.6801587302	15088.0416666667	36143.8035714286
"ko00524"	6022.12976190476	5039.60173160173	3684.23863636364	6299.21464646465	6209.175	7210.80476190476	14037.275	78664.1611111111	6108.02222222222	6722.2376984127	3242.2	7034.44722222222
"ko00525"	12683.105952381	12005.0237012987	10433.7725108225	14577.6713564214	13256.0535714286	14273.7765873016	39709.0726190476	119904.138888889	18421.2658730159	19765.4384920635	7950.99166666667	20103.948015873
"ko00531"	7304.48015873016	7549.65	4281.79047619048	11653.3452380952	10194.0765873016	7871.38253968254	16731.8202380952	40602.375	7151.96507936508	7441.30714285714	5537.63333333333	10843.1404761905
"ko00532"	0	0	4	0	0	0	5948.2	37461	9	0	0	0
"ko00534"	0	0	4	0	0	0	5948.2	37461	9	0	0	0
"ko00540"	13788.9408730159	13415.0714285714	7062.45	42865.6388888889	36165.7916666667	39551.5880952381	225216.45	490159.383333333	110978.838888889	76027.7904761905	33176.9916666667	90190.2833333333
"ko00550"	133395.708730159	122552.027056277	104862.147294372	134374.535894661	149500.793253968	184410.516666667	334239.970238095	717277.119444444	143208.012301587	150656.338888889	92609.725	151926.346031746
"ko00561"	60229.7345238095	53822.7395021645	45571.7085497836	53259.9965728716	61094.3686507937	79143.0638888889	97601.7607142857	187788.422222222	66811.5313492063	67114.6111111111	37642.475	60689.6158730159
"ko00562"	15419.3607142857	13507.671969697	9561.87911255411	15842.9487734488	13368.8349206349	15895.4436507936	45153.6619047619	84187.0722222222	49882.603968254	29015.0599206349	9002	18543.3432539683
"ko00564"	68254.8194444444	64078.9928932179	54696.9210678211	75637.2867965368	72965.4218253968	78522.6257936508	200923.370634921	373100.255555556	112905.458730159	102690.245634921	55202.1833333333	95389.5746031746
"ko00565"	59.6547619047619	45.0183982683983	67.030303030303	567.992424242424	24.75	45.4464285714286	8883.48333333333	202.116666666667	2105.91666666667	1905.31547619048	319.5	2812.16666666667
"ko00571"	4343.7	4895.93333333333	3888.6	4446.16666666667	2092.6	1081.83333333333	1328.33333333333	2020.8	3281.53333333333	4825.86666666667	1785.46666666667	2573.2
"ko00572"	9270.30674603175	9140.28863636364	7281.46720779221	8131.20670995671	6975.78134920635	8424.43571428571	2039.57261904762	5148.54444444444	4174.33809523809	6824.48412698413	4611.30833333333	6253.04246031746
