OTU,X16S_K0010A2.S1.L001,X16S_K0011C1.S2.L001,X16S_K0011C2.S3.L001,X16S_K0033C1.S4.L001,X16S_K0033C2.S5.L001,X16S_K0145B1.S6.L001,X16S_K0147C2.S7.L001,X16S_K0148A1.S8.L001,X16S_K0154C1.S9.L001,X16S_K0154C2.S10.L001,X16S_K0191C1.S11.L001,X16S_K0192B2.S12.L001,X16S_K0192C1.S13.L001,X16S_K0195C1.S14.L001
forward_16S_47,1.4,3.9,0.0,0.0,0.0,0.0,0.3,17.1,6.7,0.9,0.0,0.8,0.8,4.0
forward_16S_48,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0
forward_16S_49,1.7,5.9,2.7,4.9,0.0,0.0,2.0,1.4,0.5,1.7,1.7,3.0,0.7,6.9
forward_16S_50,0.2,0.0,0.0,0.4,0.0,0.0,13.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0
forward_16S_51,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_52,1.1,0.0,1.6,9.1,0.1,0.0,4.1,0.1,1.6,1.9,4.9,3.7,2.2,1.2
forward_16S_53,2.3,0.3,6.2,0.9,0.0,0.0,1.3,0.0,4.0,0.0,4.5,1.5,9.1,0.9
forward_16S_54,2.2,0.0,15.2,0.0,0.0,0.0,0.0,0.0,3.6,1.9,3.8,0.0,2.9,0.8
forward_16S_55,1.3,3.1,1.4,6.2,0.0,0.0,3.4,0.2,1.8,0.0,0.0,2.2,0.0,1.4
forward_16S_56,10.0,0.3,1.7,0.0,0.0,0.0,0.1,0.0,4.5,2.7,7.7,2.6,8.7,0.0
forward_16S_57,3.2,0.4,0.4,0.4,0.0,0.0,1.6,10.4,0.0,10.0,2.7,1.4,0.7,0.0
forward_16S_58,1.3,0.4,3.8,0.8,0.0,0.0,4.3,0.0,1.6,0.6,2.4,1.2,9.3,0.0
forward_16S_59,6.2,0.0,7.6,0.6,0.0,0.0,0.0,0.0,2.2,1.8,4.2,2.1,2.0,0.0
forward_16S_60,3.0,3.9,2.3,2.9,0.0,0.0,1.8,2.3,4.2,0.9,0.0,0.0,2.0,1.4
forward_16S_61,0.5,11.6,2.8,0.6,0.5,0.0,0.6,1.3,1.3,0.0,6.3,0.8,0.7,3.6
forward_16S_62,0.3,0.4,0.0,0.0,0.0,0.3,0.1,10.0,1.7,0.0,0.7,0.0,0.0,19.4
forward_16S_63,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_64,2.4,0.6,0.1,5.5,0.1,0.3,2.3,0.4,0.1,1.6,1.2,0.0,0.0,4.8
forward_16S_65,0.2,0.0,0.9,2.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_66,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
forward_16S_67,0.9,8.3,0.3,1.1,0.0,0.0,0.1,8.2,2.8,1.9,0.7,0.0,0.0,2.5
forward_16S_68,0.0,0.2,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,1.8,0.0
forward_16S_69,1.5,0.4,2.3,3.3,0.4,0.0,3.9,0.0,0.0,0.0,2.7,0.9,1.3,0.0
forward_16S_70,4.3,1.2,1.0,1.2,1.7,0.8,0.3,2.8,2.0,1.7,3.0,4.1,0.6,1.4
forward_16S_71,0.3,12.4,0.0,0.0,0.0,0.0,0.6,4.2,4.6,4.7,0.0,0.0,0.0,2.3
forward_16S_72,1.4,2.8,4.9,2.7,0.0,0.0,2.6,0.2,1.0,8.4,0.9,0.0,1.3,0.0
forward_16S_73,0.3,2.1,2.2,2.3,2.1,0.0,1.6,1.4,4.4,1.8,1.6,0.0,0.5,2.6
forward_16S_74,0.0,0.0,0.0,0.0,11.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_75,5.0,0.0,3.7,2.1,0.0,0.0,0.0,0.0,2.6,0.9,14.4,0.8,1.6,0.0
forward_16S_76,1.8,8.1,2.8,2.1,0.0,0.0,0.1,2.2,2.6,6.3,0.0,0.0,0.0,0.8
forward_16S_77,0.7,1.7,1.3,3.7,0.0,0.0,5.4,0.0,1.9,1.9,2.3,0.7,0.7,0.8
forward_16S_78,0.9,0.0,13.2,0.0,0.4,0.0,0.1,0.0,2.0,1.0,0.7,2.3,0.0,0.0
forward_16S_79,1.1,1.1,0.3,0.4,0.0,0.0,0.5,2.4,0.0,40.4,0.0,0.0,0.0,2.1
forward_16S_80,2.3,0.0,2.5,0.0,3.6,5.1,0.2,0.0,0.0,0.0,1.9,2.2,1.9,0.0
forward_16S_81,1.4,0.0,0.4,0.0,0.0,0.0,7.3,0.0,0.6,0.0,0.9,0.0,0.7,0.9
forward_16S_82,0.0,1.7,0.0,1.0,0.0,0.0,3.9,4.0,2.9,1.0,0.0,0.0,0.0,0.5
forward_16S_83,4.2,0.6,0.5,7.3,0.0,0.0,0.0,0.5,0.0,0.0,6.3,1.6,0.6,0.0
forward_16S_84,1.8,4.6,1.3,1.4,0.0,1.0,0.4,0.7,2.5,8.2,3.0,0.8,0.6,2.9
forward_16S_85,0.4,8.3,0.7,3.7,0.0,0.0,0.7,3.4,0.0,0.8,0.0,0.0,0.7,2.3
forward_16S_86,0.1,5.1,2.8,0.7,0.0,1.2,0.4,0.0,3.1,7.1,1.4,0.0,1.6,6.5
forward_16S_87,0.4,0.0,1.8,1.7,6.9,1.2,0.0,0.0,0.5,0.0,1.6,0.9,0.0,0.0
forward_16S_88,0.0,12.6,0.4,0.3,0.0,0.0,0.3,5.2,3.3,3.8,0.0,0.0,0.8,0.7
forward_16S_89,4.9,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.2,4.6,1.3,0.0
forward_16S_90,0.3,15.7,0.0,0.0,0.0,0.0,0.0,3.0,4.6,0.9,5.5,0.0,0.0,0.4
forward_16S_91,0.2,6.7,0.8,2.1,0.0,0.0,0.9,3.9,1.3,2.5,0.0,0.6,0.0,3.4
forward_16S_92,0.8,0.7,0.0,0.4,0.0,0.0,5.9,0.0,1.0,0.0,0.8,0.0,2.1,0.0
forward_16S_93,1.8,0.0,1.2,3.0,0.0,0.0,2.6,0.0,1.3,0.0,5.8,0.0,2.4,0.0
