phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	unclassified	0	0.6	0	0	0	0	0.2	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. C10	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas sp. URHE0054	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus humicus	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. R-49799	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Parviterribacteraceae	Parviterribacter	unclassified	0.4	0.5	0.2	0	1.2	1.8	0.8	0	1.8	1.8	1.5	0.7	1.5	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. M1Ju16	0	0	0	0.3	0.4	4.8	0.2	0	0.6	5.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas koreensis	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoluna	Desulfoluna butyratoxydans	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	unclassified	0	0	0	0	0.6	0	0	0	0	1	0	0	0.8	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	unclassified	0	0	0	0	0	0.2	0	38	0	0	1.5	0	0	20.2
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	unclassified	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp. KAR40	0.5	0	0.1	0	0.8	0.9	0	0.1	0	3.7	0	0	0.6	0
Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium restrictum	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus arbutinivorans	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 'Mali 21'	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus sp. enrichment culture clone Lt-B7	0.8	0	0.4	2.3	0.1	0	1.4	0	0	0	0	0.8	4.2	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia mannitolilytica	0	0.7	0.9	0.6	0	0	0	0.4	0	0	0	0	0	0.8
Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus tropicus	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp. enrichment culture clone 3301	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	unclassified	0	0.9	0	0	0	0	0	0.2	1.2	2.7	0	0	0.5	0.7
Proteobacteria	Alphaproteobacteria	Holosporales	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	unclassified	0.3	0	0	4.1	0	0	0	0	0	0.9	0	3	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	Flexibacter flexilis	0.6	0	0.3	2.3	0	0.3	0	0.1	0	0.9	2.4	2.4	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	0.1	0	0	2	0.5	4.3	0	0	0	0.9	0.9	1	1.9	2.4
Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax	Byssovorax cruenta	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. MI-2b	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.6
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. VS-3	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp. P-7	0.2	0	0.4	1	2.2	1.5	0	0	0	0	0	0.8	0.4	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. L2181	0	0	0	0	0	0.6	0.1	0	0	0	0	0	0	0
Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata sp. Io1-6	0.6	0.4	1	0	0.5	1.3	0.1	0	0	0	0	0	0.6	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	unclassified	0.4	0	0	0	0.4	0	0	0.3	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 'Mali 44'	0.5	0	0	0	0	0	2.5	9.9	1.7	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus Glomeribacter	Candidatus Glomeribacter gigasporarum	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. DOSMB-SP10	0.6	0	0.2	0	0	0	0	0	0	0	0	0	0	1.2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium halotolerans	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	unclassified	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	unclassified	0	0.8	0	0.3	1.3	0	1	0.2	0.6	0	0.7	0	0	0.7
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. C6-6	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter sp.	0.8	0	0.7	0	0	0	0.4	0	0	0	0	0	0.8	0
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. 2002-112570	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	Jatrophihabitans sp.	0	0	0	0.3	0	0.1	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. R3-14	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0
Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces profundicolus	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter sp. I11A-00710	0	0	0	0	0	31.6	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura sp. JSM 082016	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes sp. MS-C4	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	unclassified	unclassified	0.4	1.5	0	0	0.1	0.3	0.3	0	0.4	0	0	0	0.9	0.6
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	unclassified	0	0	3.4	0.2	0.8	2.3	0	0.5	0	0	2.2	0	0	0
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. D31	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Sulfuritortus	Sulfuritortus calidifontis	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. PCWCS25	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flaviaesturariibacter	Flaviaesturariibacter luteus	0	0	0	0	0	0	0.1	0	0	1	0.9	0	0	0
Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	unclassified	unclassified	0	0.7	0	2.4	0.1	0.2	2.7	0	0	0	0.8	0	0.9	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. WD2	0	0	0.6	0	0	0.2	0	0	0	0	0	0	0	0
Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	40.6	3	19	8.6	23.5	7.7	10.8	0	15.6	5.2	46.8	23.6	27.3	3.2
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter sp. BS10	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas yunnanensis	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. CY-C3-3	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	unclassified	0.1	0	1.3	0.5	0.9	2.4	0	0	0	0	0.7	3.2	0.9	0.8
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus flavefaciens	0.8	0	0	0	1.2	0	0.7	0	0	0	0	1	0.9	0
Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	Promicromonospora sp. I10A-02180	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter proteolyticus	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. FL109	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Ma5	2	0.6	0.7	5.3	0	0	4.7	0	0.6	0.8	1.8	0.8	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. WD16	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Neisseriales	unclassified	unclassified	unclassified	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea caldifistulae	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Aquihabitans	Aquihabitans daechungensis	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus sp. I12A-02639	1.9	1.6	1.4	3.1	0	0	0.3	0.8	0.9	1	1.6	0	0	1.5
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis solisilvae	0	0	0	0	0	0	0	0.2	0	0	0	0	0	1.4
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. CF11-28	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Sunxiuqinia	unclassified	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. TB16	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	unclassified	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	unclassified	0.6	0	1.5	1.6	5.3	7	2.8	0	0	0	0	9.7	5.8	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. CC1L	0	0.8	0	0	0	0	0	0.4	0	0	0	0	0	1.4
Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	unclassified	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0.8
Planctomycetes	Planctomycetia	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Scalindua	Candidatus Scalindua marina	0.4	0	0	0	0.8	0.1	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter sp. M68C9B	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. VITPRS34	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. Pd-E-(r)-m-D-4(5)	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter dorajii	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloramator	unclassified	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium sp. enrichment culture clone JAC34	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix sp. LM 009	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Holospora	unclassified	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio exovorus	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	unclassified	unclassified	3.8	4.2	3.8	7.3	2.1	4.7	6.6	2.3	1.3	1	2.8	5.1	5.8	4.5
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. qy16	0	0	0.2	0	0	0.4	0	0	0	0	0	0	0	0
Chloroflexi	Ktedonobacteria	unclassified	unclassified	unclassified	unclassified	1.7	1.9	0.1	0	0	0.8	1	0	0	0	0.8	0	8.3	0
Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Siccationidurans	Siccationidurans ginsengisoli	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	Aciditerrimonas ferrireducens	0.3	0	0.2	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	unclassified	0.8	2.6	1.5	4.4	0.4	0	1.2	1.7	4.9	5.3	0	0	0.6	1
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. T3-QH-2205	0	0	0	0.3	0	0	0.1	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. SMCC B0620	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella	unclassified	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	unclassified	0	0	0.3	0	0.2	0	0	0	0	0	0	1.5	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. T2-YC6788	0	0	0.4	0	0	3.1	0	0	0	0	0	0.6	0	0
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. PG-04	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. EBA04	0	0	0	0	0.4	0.8	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. SC14	0.2	0	0	0	0	0	0	0	0	0	0.6	0	0	0
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. P3864	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter	unclassified	1.1	0.6	0.9	2	0.2	0	0	2.2	0.8	1.7	1.1	2.2	0.7	1.5
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium	unclassified	0	0	0.8	0.6	3.1	3.9	0.4	0	0.6	0	0	0.9	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus circulans	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio mixtus	0	0	0	0	8.1	11.9	0	0	0	0	0	0	0	0
Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mangrovibacterium	Mangrovibacterium diazotrophicum	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna	Anaerocolumna aminovalerica	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. BAB-5530	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus sp. xj102	0	0	0.2	0	0	0	0.2	0	0	0	0.9	0	0.8	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium sp. PYM5-6	0.2	0	0.3	0.5	0.9	1.3	0	0	0	0	0	1.5	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	unclassified	0.3	0	0.5	0.4	1.5	1.7	0	0	0	0	0	0.8	0	0
Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. 31848	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium roseum	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. jshs26	0	0.5	0	0	0	0	0	0.4	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes sp. OR16	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	unclassified	0	0	0	0	0.7	0.4	0.1	0	0	0	0	0.7	0	1.2
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes cyaneus	0	0.3	0	0	0	0	0	0	0	0.9	0	0	0	0.8
Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella sp. legS033	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	0	0	0	0	0	0	0.2	0.4	0	0	0	0.8	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella	unclassified	0	0	0	0	0.5	0.4	0	0	0	0	0	0	0	0
Proteobacteria	Zetaproteobacteria	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0.4	1	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	unclassified	unclassified	14.9	0	0	0.2	0.6	0.4	0.1	0	0	1.5	18.5	2.1	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	unclassified	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella paludicola	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. enrichment clone 4Ben5	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	unclassified	unclassified	29.6	60.1	24.8	23.3	28.6	38.7	10.9	34	39.5	66	37.6	34.8	18.2	54.8
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. KJ012	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
Spirochaetes	Spirochaetia	Spirochaetales	unclassified	unclassified	unclassified	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	Dactylosporangium sp. 8fa2-CH10	0	0	0.1	0	0	0	0	0	0.5	0	0	0.8	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	unclassified	0.7	0.9	0	0	0.3	0.5	0	1	1.4	0	0	3.3	0	1.6
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas sp. F14	1.3	0	0.3	1.1	0	0	4.3	0	0.5	0	0.9	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. D102-D10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga hutchinsonii	0	0	0	0	0	0.3	0	0	0	0	0	1.9	0	0
Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. PVC2	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	unclassified	0.2	0.6	0	0	1.2	1.6	0	0	0	1.7	0.9	1	0.5	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter sp. URHE0046	0	0	0	0	0	0	0.1	0	0	0	0	0.9	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga myxococcoides	0	0.5	0	0.4	0	0.2	0	0.3	0	1	0	0	0	0.9
Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus sp. FXJ6.383	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. G1_15	0	0	0	0	0	0	0	8.2	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes sp.	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces apiculatus	0	0	0	0	1.3	0.1	0	0	0	0	0	1.3	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus darwinianus	0	0	0	0	0	0	0	6.4	1.8	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira sp. Is176	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. H9.35	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia	unclassified	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	0	0	0	0	1.3	0	0	0	0	0	0	0.8	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Zhihengliuella	unclassified	0	0	0	0	0	0	0.1	0	0	0.8	0	0	0	0.7
Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermanaerothrix	Thermanaerothrix daxensis	2.1	0	0	0	0	0.8	0.2	0	0	0	3.5	2.3	2.9	0
Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia	Actinocorallia longicatena	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius	0.5	0	0.4	0	0	0	0.2	46	37.9	0	0	0	0	0.5
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter sp. 4233_2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 148	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	unclassified	0.9	0.6	0	0.9	0	0	0.4	3.3	1.7	0	0	0	0	0.9
