phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	unclassified	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas aestuarii	0	0	0	1.8	0.1	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. DAB_ATA116	0	0	0	0	0	0	0.2	0	0.5	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. BJGMM-B14	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas ferruginea	0.3	3.8	0.9	5.9	0	0	1	0	0.7	4.4	0.8	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter sp. R110(2010)	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. TS0424R	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0
Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter spartanus	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter sp. DAB_ATA169	0.2	0	0	0	0	1.2	0.4	0	0	0	0	0	0.9	0
Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	unclassified	unclassified	0	0	0.6	0	1.6	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter sp. enrichment culture clone SB3-90	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. enrichment culture clone CB1-7 3.2	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	Marmoricola sp. L1925	0	0	0	0.9	0.2	0	17.8	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Calditerricola	unclassified	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
